position,link,title,source,date,snippet,thumbnail
33,https://www.nytimes.com/2025/05/27/business/economy/trump-tariffs-trade-crime.html,"Trade Crime Is Soaring, U.S. Firms Say, as Trump’s Tariffs Incentivize Fraud",The New York Times,"May 28, 2025","Trade Crime Is Soaring, U.S. Firms Say, as Trump's Tariffs Incentivize Fraud. President Trump's steep global tariffs have supercharged efforts to evade them.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caa465e120e564bee273d8f3d003922f9a074fa94e7a0e7537.jpeg
34,https://paulkrugman.substack.com/p/how-trump-will-make-the-tariff-shock,How Trump Will Make the Tariff Shock Worse,Paul Krugman | Substack,"May 20, 2025","The direct economic consequences of Trump's tariffs will surely be bad, but his unwillingness to accept the reality of those consequences will probably make...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca58fedd6da2f6ca71ae95aff7f9a7b8094de4449e7a79d2c3.jpeg
35,https://www.nbcnews.com/world/asia/tariffs-china-trump-agree-slash-levies-duties-business-markets-bessent-rcna206193,U.S. and China agree to slash tariffs for 90 days as trade talks continue,NBC News,"May 12, 2025","The combined U.S. tariff rate on Chinese imports will be cut to 30% from 145%, while China's levies on U.S. imports will fall to 10% from 125%, the countries...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca869e28d35994fbe554dd7f555e863d4a1b991a22988c2bb2.jpeg
36,https://www.axios.com/2025/05/16/trump-tariffs-trade-deal,"Trump: U.S. will set tariff rates in 2-3 weeks, can't negotiate with everyone",Axios,"May 16, 2025","Trump: U.S. will set tariff rates in 2-3 weeks, walking back negotiations ... President Trump gestures during a business meeting in Abu Dhabi. President Trump,...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cabd6ab1ffc6d3ccb3d699a85063974e7ec9504d2cce4e82ba.jpeg
37,https://www.pbs.org/newshour/politics/eu-trade-negotiator-says-hes-had-good-calls-with-u-s-after-trump-extends-tariff-deadline,EU trade negotiator says he’s had ‘good calls’ with U.S. after Trump extends tariff deadline,PBS,"May 26, 2025",The European Union's chief trade negotiator said Monday he had “good calls” with Trump administration officials and the EU was “fully committed” to reaching a...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca56558684e9386158b985c587ca21c071c08ec033962cb282.jpeg
38,https://www.bbc.com/news/articles/c8xgdj9kyero,Trump tariffs get to stay in place for now. What happens next?,BBC,"May 30, 2025",Trump tariffs get to stay in place for now. What happens next? ... US President Donald Trump has been allowed to keep collecting tariffs while the White House...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca1a41c367ea5369ba1490e75ec187836bdd8adceaf3f629f4.jpeg
39,https://www.politico.com/news/2025/05/23/trump-tariffs-apple-walmart-00367595,Trump turns the screws on big companies amid tariff fight,Politico,"May 23, 2025","President Donald Trump has publicly targeted companies which have expressed concerns surrounding the administration's tariff plan in recent days, threatening...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca4091e848bf863c838086e2fac251954fcbb519c4e90f2f8d.jpeg
40,https://www.politico.com/news/2025/05/16/trump-says-us-will-set-new-tariff-rates-for-countries-skirting-negotiations-00353370,"Trump says US will set new tariff rates for countries, skirting negotiations",Politico,"May 16, 2025","President Donald Trump on Friday said the U.S. would begin unilaterally informing many of its trading partners of new tariff rates, acknowledging for the first...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cab6af4232712fddc7c50bb29e616dda5424b686d7b0a1e85b.jpeg
41,https://apnews.com/article/trump-tariff-apple-iphone-tax-170021e8fad22878d0183b5d48971087,Trump threatens 50% tariffs on EU and 25% penalties on smart phones as his trade war intensifies,AP News,"May 23, 2025",President Donald Trump on Friday threatened a 50% tax on all imports from the European Union as well a 25% tariff on smartphones unless those products are made...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caa8e6c345e61dee12ec93ea0ed3f310fcdc77740bc657a427.jpeg
42,https://www.womblebonddickinson.com/us/insights/alerts/trade-update-navigating-trump-administration-tariffs-may-2025-developments,Trade Update: Navigating Trump Administration Tariffs – May 2025 Developments,Womble Bond Dickinson,"May 22, 2025","The most notable recent development is the US-China agreement announced on May 12, 2025, aimed at temporarily de-escalating trade tensions.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca3c1a3f658714f02685fc5418113f7e154ea2cb20e42fb4d2.jpeg
43,https://www.npr.org/2025/05/27/g-s1-68682/trump-tariffs-japan,Why Japan sees President Trump's tariffs as a 'national crisis',NPR,"May 27, 2025",Trump's tariffs present a major threat to Japan's already flagging economy. Adding to the gloom in Tokyo is the uncertainty of US tariff policy toward China.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cae6aac8f4c73a65f5c29b2705dfac9f788cf9100c2dd94dc4.jpeg
44,https://www.politico.com/news/2025/05/30/trump-steel-tariff-pennsylvania-00378480,Trump says he'll double steel tariff to 50 percent,Politico,"May 30, 2025","President Donald Trump said on Friday that he is doubling his tariff on steel to 50 percent, from 25 percent currently, to prevent billions of dollars worth of...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca6a75ebe5b767112307404323654db5147aa33e363172c10c.jpeg
45,https://www.reuters.com/world/china/us-china-reach-deal-slash-tariffs-officials-say-2025-05-12/,"Global stocks rally after US, China pause tariff war, but uncertainty remains",Reuters,"May 13, 2025","Global stock markets surged on Monday after the U.S. and China agreed to slash steep tariffs for at least 90 days, tapping the brakes on a trade war between...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cad4db483f38bb4a9b6cbe1c43c4c783710e4c468b5dd37a1d.jpeg
46,https://www.nytimes.com/2025/05/12/business/china-us-tariffs.html,U.S. and China Agree to Temporarily Slash Tariffs in Bid to Defuse Trade War,The New York Times,"May 12, 2025","Under the agreement, the United States would reduce the tariff on Chinese imports to 30 percent from its current 145 percent, while China would lower its import...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caff5a902fd890eb4cba0be7bfe0e6d4bb7bca75a5b268c5f7.jpeg
47,https://ustr.gov/about/policy-offices/press-office/press-releases/2025/may/ustr-extends-certain-exclusions-china-section-301-tariffs,USTR Extends Certain Exclusions from China Section 301 Tariffs,United States Trade Representative (.gov),"May 31, 2025","The Office of the United States Trade Representative announced the extension of exclusions in the Section 301 Investigation of China's Acts, Policies, and...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca4ff4ca4d39c3b89a79dbb7192b4b943faf33bbf65a317d8e.png
48,https://law.stanford.edu/2025/05/21/stanfords-michael-mcconnell-on-trump-tariffs/,Stanford’s Michael McConnell on Trump Tariffs,Stanford Law School,"May 21, 2025","The Customs Court ruled that the tariff surcharges were unlawful. ... The Act capped tariff surcharges at 15%, limited them to 150 days in the absence of “...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca1075e9f76b9d273d70088add23ac910535d6d0e4c2fb0e9e.jpeg
49,https://www.reuters.com/world/us/us-court-blocks-trumps-liberation-day-tariffs-2025-05-28/,"US court blocks most Trump tariffs, says president exceeded his authority",Reuters,"May 29, 2025",The court invalidated with immediate effect all of Trump's orders on tariffs since January that were rooted in the International Emergency Economic Powers Act (...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cab39148f68444187eac48b07d52ba7b4004f39c7b4c8da014.jpeg
50,https://www.heritage.org/trade/commentary/trumps-tariff-strategy-can-work-america-still-needs-deeper-economic-reform,Trump’s Tariff Strategy Can Work but America Still Needs Deeper Economic Reform,The Heritage Foundation,"May 27, 2025",Key Takeaways. President Donald Trump's tariff diplomacy has been intended as a kind of radiation and chemotherapy to kill the cancer that created the Rust Belt...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cae1bbc21c34f9b01c0e1ad0bef1d7ee80a12c157aa864b11b.jpeg
51,https://www.cnn.com/business/tariffs-trump-timeline-dg,Timeline: What to know about Trump’s global tariff rollout,CNN,"Jun 1, 2025","At the flick of a switch, Trump has significantly dialed up and down tariffs – both ones in place and ones he's threatened.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cac266cec71014d865082498c774aa44c436b9ab5be95a817d.jpeg
52,https://www.reuters.com/business/trumps-tariff-tally-34-billion-counting-global-companies-say-2025-05-29/,"Trump's tariff tally: $34 billion and counting, global companies say",Reuters,"May 29, 2025","President Donald Trump's trade war has cost companies more than $34 billion in lost sales and higher costs, according to a Reuters analysis of corporate...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca02ffd6b217adb8ec0f8a1aacb009f477d9213f6ef7911997.jpeg
53,https://www.cnn.com/2025/05/29/business/appeals-court-pauses-trump-tariff-ruling,Appeals court pauses ruling that blocked Trump’s tariffs,CNN,"May 29, 2025",The Court of International Trade ruled Wednesday that Trump did not have the authority under the International Emergency Economic Powers Act to impose sweeping...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca00d95e7d071525cbc60be8b0c347e3adeda3dc724b5c3835.jpeg
54,https://www.cfr.org/expert-brief/relief-and-realism-global-reactions-us-tariff-rulings,Relief and Realism: Global Reactions to U.S. Tariff Rulings,Council on Foreign Relations,"May 30, 2025",The US federal court ruling that President Trump had overstepped his authority on imposing tariffs marked a clear setback for the administration.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca3f4259da3495991bf3fffdbbd5ea8a8a002a02f9491e1bf8.jpeg
55,https://www.politico.com/news/2025/05/29/trump-tariffs-court-ruling-reaction-00374006,White House insists court ruling won’t derail Trump’s tariff agenda,Politico,"May 29, 2025","Trump administration officials are making clear that they won't back down on their global tariff policies without a fight, even after a federal court struck...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cacb437f48c9d0f9c03b6ca397fe02c5044707adf476a7c3fa.jpeg
56,https://www.axios.com/2025/05/23/trump-tariffs-european-union,"Trump threatens ""straight 50%"" tariff on European Union",Axios,"May 23, 2025","Trump threatens ""straight 50%"" tariff on European Union ... The President Trump threatened to slap 50% tariffs on imports from the European Union early next month...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca4397775e43d4c0ee4ed1f68c3136739be763a48e83d53bf2.jpeg
57,https://www.hudson.org/assessing-trumps-trade-tariff-policies-basics-john-lee,Assessing Trump’s Trade and Tariff Policies: The Basics,Hudson Institute,"May 29, 2025",This policy memo sets out the structural reasons behind the Trump administration's dissatisfaction with the existing global trading system.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cab9a1bc664778d22d61f2713e96288ebb7cc3def7562c1026.jpeg
58,https://think.ing.com/articles/how-trump-might-bypass-us-courts-to-continue-tariff-agenda/,How Trump might bypass US courts to continue his tariff agenda,ING THINK economic and financial analysis | ING Think,"May 29, 2025","The ruling. On 28 May, a US federal court, the Court of International Trade, delivered a landmark ruling that US President Donald Trump overstepped his...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca6317a0fa723948daeceb810274c16555a97f62761ed0a33d.jpeg
59,https://www.cnn.com/2025/05/23/economy/trump-trade-regional-tariffs,Regional tariffs could soon be the new ‘reciprocal’ tariff,CNN,"May 23, 2025","As Trump's self-imposed July 9 deadline for when “reciprocal” tariffs would resume inches closer, just one deal with the United Kingdom has so far been...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca2c92783b67927f121a9bc072df7b5b0e4b5da325910efc86.jpeg
60,https://www.reuters.com/world/what-have-china-united-states-agreed-geneva-2025-05-12/,What's in China-US trade deal? Tariff cuts and key details,Reuters,"May 12, 2025",A trade war truce agreed in Geneva will see the US cut its tariff rate from 145% to 30% and China from 125% to 10%.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca5433c7179529b172eadab35948472d9ea253535b128428c5.jpeg
61,https://www.npr.org/2025/05/02/nx-s1-5384770/china-us-trade-talks-tariffs-trump,"China says it's considering trade talks with U.S., but demands canceled tariffs",NPR,"May 2, 2025","China says it is ""assessing the situation"" after what it says have been multiple overtures from the United States seeking trade talks.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca8e3bcbb318e5e0aa3ecc9e3947092720128c3faf75504f17.jpeg
62,https://www.cfr.org/blog/why-didnt-tariffs-push-us-dollar,Why Didn’t Tariffs Push up the U.S. Dollar?,Council on Foreign Relations,"May 5, 2025",Less imports means that foreign countries have fewer dollars to spend on exports (this analysis holds with unbalanced trade and capital inflows if the tariffs...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca08b11ba169c43b4799360bfe2d7a57b8803b68f1baa0c6f6.jpeg
63,https://www.npr.org/2025/05/30/nx-s1-5415763/trump-tariffs-blocked-small-businesses-refunds,Sellers of dog leashes and mom gear hope court rulings lead to tariff relief,NPR,"May 30, 2025","Court decisions paused for now. Late Wednesday, the U.S. Court of International Trade struck down many of Trump's tariffs, ruling in favor of 12 states and five...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca8d675d376dd6b2a42737b187e5d99ebcb9cdf1bb1b4d0ce4.jpeg
