position,link,title,source,date,snippet,thumbnail
12,https://taxfoundation.org/blog/trump-reciprocal-tariffs-calculations/,"Trump’s Reciprocal Tariff Calculations Are Nonsense, Will Punish Mutually Beneficial Trade",Tax Foundation,"Apr 3, 2025","The Trump administration announced a series of tariffs it characterized as “reciprocal,” ranging from 10 percent to 50 percent and calculated for every country...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb40e138cb3959c0f91be98af1cc4df85f4e7c2b790ee8a7f8.jpeg
13,https://www.nahb.org/blog/2025/04/lumber-production-and-tariffs,Good and Bad News on Lumber Production and Tariffs,National Association of Home Builders | NAHB,"Apr 8, 2025",Recent developments on the lumber front indicate that increased logging from federal lands and higher tariffs are in the offing later this year.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbb6cbaaf7e46ce157feda2fc5e8101614953d3e73312562e2.jpeg
14,https://www.hks.harvard.edu/faculty-research/policy-topics/public-finance/explainer-how-do-tariffs-work-and-how-will-they,Explainer: How do tariffs work and how will they impact the American and global economy?,Harvard Kennedy School,"Apr 9, 2025",HKS international trade expert Robert Lawrence on what higher tariffs will mean for the United States and the world.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb801deaebf13c5500118ed7f23268e935644770299f38e30e.jpeg
15,https://www.richmondfed.org/publications/research/economic_brief/2025/eb_25-12,Tariffs: Estimating the Economic Impact of the 2025 Measures and Proposals,Federal Reserve Bank of Richmond,"Apr 2, 2025","In this article, we first provide historical context on US tariff policy to frame the significance of the proposed tariff changes for 2025.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb13b1053deb9b7c6f1cd665722ddfea08da37af51607480c9.jpeg
16,https://news.uchicago.edu/story/how-do-tariffs-work-and-who-will-they-impact-uchicago-experts-explain,"How do tariffs work, and who will they impact? UChicago experts explain",University of Chicago News,"Apr 2, 2025","Tariffs are federal taxes, set by Congress, and applied to goods at the border. Unlike income or sales taxes, tariffs vary by product and by the originating...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb37df20dcbcc7ceaaa5917c5b2a72031a06fac71588ef1641.jpeg
17,https://budgetlab.yale.edu/research/fiscal-and-economic-effects-revised-april-9-tariffs,The Fiscal and Economic Effects of the Revised April 9 Tariffs,The Budget Lab at Yale,"Apr 10, 2025","The 2025 tariffs are a 16.1 percentage point increase in the US average effective tariff rate, due to the substantial fall in China's share of US imports.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb80282df82f400ad43100e1fe5a86643bef474769f3104a8a.jpeg
18,https://www.americanprogress.org/article/examples-of-potential-consumer-price-hikes-under-trumps-tariffs/,Examples of Potential Consumer Price Hikes Under Trump’s Tariffs,Center for American Progress,"Apr 8, 2025","Previous modeling by the Budget Lab projected that, as a result of the 25 percent auto tariffs alone, “Motor vehicle prices rise by 13.5% on average, the...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbee19724ccc511a131322f446c78676fdfafe91a4ea8b2bf7.jpeg
19,https://www.npr.org/2025/04/09/nx-s1-5357645/trump-tariffs-paused,"Trump says he will pause tariff hikes for 90 days, but not for China",NPR,"Apr 9, 2025","Trump says he will pause tariff hikes for 90 days, but not for China ... In this photo, President Trump stands outside the White House with a yellow race car.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbb9d2a683ed475fd3119b88fb389ecf36e20f471f2df0ab50.jpeg
20,https://www.americanprogress.org/article/trumps-tariff-pause-doesnt-pause-economic-pain-and-will-cost-families-4600-per-year/,"Trump’s Tariff Pause Doesn’t Pause Economic Pain and Will Cost Families $4,600 Per Year",Center for American Progress,"Apr 10, 2025","As currently formulated, the typical American household can now expect to pay an average of $4,600 annually because of Trump's tariffs. Using a different...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb0716f0b899aef96ea9b74507e941b850fe267c3c95a31af4.jpeg
21,https://www.gov.ca.gov/2025/04/16/governor-newsom-files-lawsuit-to-end-president-trumps-tariffs/,Governor Newsom files lawsuit to end President Trump’s tariffs,Governor of California (.gov),"Apr 16, 2025","California today filed a lawsuit challenging President Trump's authority to unilaterally enact tariffs, which have created economic chaos.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb2a2a7a05fe410a8f21f5426bec24e4c89e8a13c304dfbb06.jpeg
22,https://bipartisanpolicy.org/explainer/tariff-tracker/,U.S. Tariff Tracker | How Much Are U.S. Tariffs Raising in Revenue?,Bipartisan Policy Center,"Apr 23, 2025","Tariff revenue has represented a small portion of total revenues collected by the federal government in recent decades, as the chart below demonstrates. While...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb0073a4a2d65c5a002c0d158dc16c2685de411b0689b5365c.jpeg
23,https://www.pbs.org/newshour/politics/trump-advisers-say-more-than-50-countries-have-reached-out-for-tariff-talks-with-white-house,Trump advisers say more than 50 countries have reached out for tariff talks with White House,PBS,"Apr 6, 2025",More than 50 countries targeted by President Donald Trump's new tariffs have reached out to begin negotiations over the sweeping import taxes.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb0c2497d6e747d6b51f9a0e20ddb4f371cc145ef10034cda5.jpeg
24,https://www.supplychaindive.com/news/trump-electronics-tariff-exemption-list/745209/,Trump excludes some electronics from reciprocal tariffs,Supply Chain Dive,"Apr 13, 2025",President Donald Trump on Friday added some electronics to the list of products exempt from reciprocal tariffs.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb16686398041064eda4a0f80f50fbb442c0a1d12442087bf0.jpeg
25,https://www.whitehouse.gov/presidential-actions/2025/04/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and-persistent-annual-united-states-goods-trade-deficits/,Regulating Imports with a Reciprocal Tariff to Rectify Trade Practices that Contribute to Large and Persistent Annual United States Goods Trade Deficits,The White House (.gov),"Apr 2, 2025",Regulating imports with a reciprocal tariff to rectify trade practices that contribute to large and persistent annual United States goods trade deficits.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbb64e76704d6296e8bfc38433ed8effc934f57a164f09d2b9.png
26,https://www.cfr.org/article/what-know-about-trumps-tariff-authority-its-cost-and-what-comes-next,"What to Know About Trump’s Tariff Authority, Its Cost, and What Comes Next",Council on Foreign Relations,"Apr 4, 2025","CFR experts weigh in on President Trump's raft of new tariffs, including their legality, justification, and effect on US consumers.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbaa37a185c403519091e986bf372ca8f87e9fdde5d97ddf00.jpeg
27,https://www.nbcnews.com/business/economy/trump-tariffs-president-announces-90-day-pause-what-to-know-rcna200463,Trump pauses reciprocal tariffs but hikes duties on China to 125%,NBC News,"Apr 9, 2025",Trump suddenly backs off major tariff plan after days of economic and market turmoil. The president paused higher import duties for dozens of countries for 90...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb9b37ce67192753f27c7c5589af316a9e7ca321d670c069db.jpeg
28,https://budgetmodel.wharton.upenn.edu/issues/2025/4/10/economic-effects-of-president-trumps-tariffs,The Economic Effects of President Trump’s Tariffs,Penn Wharton Budget Model,"Apr 10, 2025","PWBM projects Trump's tariffs (April 8, 2025) will reduce long-run GDP by about 6% and wages by 5%. A middle-income household faces a $22K lifetime loss. These...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb032308a05983062e7d1dc96234e723d2bb3443f548cc2416.jpeg
29,https://www.reuters.com/world/trump-stokes-trade-war-world-reels-tariff-shock-2025-04-03/,"Trump tariffs sow fears of trade wars, recession and a $2,300 iPhone",Reuters,"Apr 4, 2025","Trump says the ""reciprocal"" tariffs are a response to barriers put on U.S. goods, while administration officials said the tariffs would create manufacturing...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb0d7b7835859d7164fd6e642985932ba079fd53522bd442d8.jpeg
30,https://www.npr.org/2025/04/03/g-s1-58094/tariffs-price-raises-economists,How much will tariffs raise prices? Trump’s economists just revealed their answer : Planet Money,NPR,"Apr 3, 2025",Trump's economists think that about a quarter of his tariffs will be passed onto American consumers in the form of higher prices.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb31f84f3a9ad8678d537515d80c233137012cb1318caa85b8.jpeg
31,https://www.bcg.com/capabilities/international-business/navigating-international-trade/what-is-a-tariff,What is a Tariff and How Does it Impact Trade? | BCG,Boston Consulting Group,"Apr 23, 2025",A tariff is a duty levied on imports of goods into a country. The rate—expressed as a percentage of the value of the product—typically depends on two things...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbba8900cff5d5dfcbc431d842b293c8263027bbf00c88ce8f1.jpeg
32,https://globaltaiwan.org/2025/04/tough-trade-negotiations-ahead-for-taiwan/,Tough Trade Negotiations Ahead for Taiwan,Global Taiwan Institute,"Apr 16, 2025","2025 has so far been a whirlwind for US trade policy. On March 26, President Trump announced a new 25 percent tariff on auto, auto parts, and computer...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb602a77c024b746ac9a8c620ba866c33d38153d174c7628e8.jpeg
33,https://www.politico.com/news/2025/04/02/trump-tariff-trade-partners-liberation-day-00267350,"Trump imposes 10 percent universal tariff, higher for top trade partners",Politico,"Apr 2, 2025","President Donald Trump announced Wednesday that he will impose a baseline 10 percent tariff on imports from all countries in the coming days, with a higher...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb1ee81953fb62c9c5a4af4caca981b901593c2aa6116a2f2b.jpeg
34,https://www.piie.com/blogs/realtime-economics/2025/trumps-april-2-tariff-spree-could-cripple-developing-economies,Trump's April 2 tariff spree could cripple developing economies,Peterson Institute for International Economics,"Apr 2, 2025","President Donald Trump presented his new tariffs on April 2 as a pragmatic, ""reciprocal"" trade policy intended to balance trade between the US and its trading...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb907af5635809b52f6e6fb2caabc8e71db6f18609f9c613d9.jpeg
35,https://www.aljazeera.com/economy/2025/4/18/trump-tariffs-what-products-do-china-and-the-us-buy-from-each-other,Trump Tariffs: What products do China and the US buy from each other?,Al Jazeera,"Apr 18, 2025","In 2024, the US sold $143.5bn worth of goods to China. China's biggest purchases from the US were mineral fuels, oil seeds, machinery and aircraft.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbd21a912b0c966b387598cd79fbc2942f68eae707fe0a20e8.jpeg
36,https://www.csis.org/analysis/stacking-effect-trump-administrations-auto-tariffs,The “Stacking” Effect of the Trump Administration’s Auto Tariffs,CSIS | Center for Strategic and International Studies,"Apr 1, 2025",The Trump administration's automobile tariffs are sure to rock the sector's supply chains while raising costs for consumers.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb783ca62a55324b6e4a198687be6c13d44fcba1495b2607e0.jpeg
37,https://www.pbs.org/newshour/economy/what-the-end-of-the-de-minimis-exemption-could-mean-for-your-online-orders,Trump is ending this tariff loophole for low-cost packages. Here’s what that could mean for consumers,PBS,"Apr 23, 2025",Trump is ending this tariff loophole for low-cost packages. Here's what that could mean for consumers ... If you've purchased something from Chinese e-commerce...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb44041920564a7cae61571f4ae9431307504dc31401a9471a.jpeg
38,https://www.reuters.com/world/us-slaps-26-tariff-india-amid-ongoing-bilateral-trade-talks-2025-04-03/,"India says studying impact of 27% US tariff, vows to push trade deal",Reuters,"Apr 3, 2025",India said on Thursday it was studying the impact of the 27% tariff slapped by the US on its imports and vowed to push for a trade deal this year.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb6afe6b8bda57bf880519f152b6e1168db54cdff0042be719.jpeg
39,https://budgetlab.yale.edu/research/state-us-tariffs-april-15-2025,"State of U.S. Tariffs: April 15, 2025",The Budget Lab at Yale,"Apr 15, 2025","The 2025 tariffs are a 15.6 percentage point increase in the US average effective tariff rate, due to the substantial fall in China's share of US imports.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbce8fc9cdd65b09e900d37b19a31a6ebbaaf3b629458e6fb4.jpeg
40,https://constitutioncenter.org/blog/how-congress-delegates-its-tariff-powers-to-the-president,How Congress delegates its tariff powers to the president,The National Constitution Center,"Apr 2, 2025","The Constitution actually grants Congress the power to levy tariffs, but in recent years as a result of certain laws Congress has passed, the president and the...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb7e0916bf6fe4a23f5ebc65fcba7a92a07acefb3c2aad8773.jpeg
41,https://www.bruegel.org/analysis/economic-impact-trumps-tariffs-europe-initial-assessment,The economic impact of Trump’s tariffs on Europe: an initial assessment,Bruegel,"Apr 17, 2025","It is likely that Trump's tariffs will be a limited hit to Europe, though some regions and industries could suffer and may need protective measures.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb7124079859a08b2b7ecff1a3577946f6acc85f5ae4504b53.jpeg
42,https://www.reuters.com/markets/us-starts-collecting-trumps-new-10-tariff-smashing-global-trade-norms-2025-04-05/,"US starts collecting Trump's 10% tariff, smashing global trade norms",Reuters,"Apr 6, 2025","Trump's tariffs impact global markets, causing $5 trillion loss in S&P 500 value; Countries like Australia, Britain and Saudi Arabia face immediate 10%...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb185f699e42c7260a39519ad1b75b97dbc4999d765d2e49ef.jpeg
43,https://www.supplychaindive.com/news/trump-reciprocal-tariffs-china-japan-eu-vietnam/744301/,"Trump installs 10% baseline tariff, country-specific duties",Supply Chain Dive,"Apr 2, 2025","The tariff rates will only apply to non-U.S. content of finished goods if at least 20% of the value of the product was made in the U.S., per an executive order...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb810d5cfba14295c1eaf378cb373165c831a5d47cadfcadd9.jpeg
44,https://www.aei.org/economics/president-trumps-tariff-formula-makes-no-economic-sense-its-also-based-on-an-error/,President Trump’s Tariff Formula Makes No Economic Sense. It’s Also Based on an Error.,American Enterprise Institute,"Apr 4, 2025","As an example, if the US imports $100 million worth of goods and services while exporting $50 million to a country, then the Trump Administration alleges that...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb699e8d009e5f59e449e7677c8acb74cee17bf1a29f19abff.jpeg
45,https://www.nbcnews.com/business/economy/trump-reciprocal-tariffs-trade-markets-impact-what-know-rcna198207,Trump announces sweeping U.S. tariffs on major trade partners — some as high as 54%,NBC News,"Apr 3, 2025",Trump announces sweeping tariffs on major trade partners — some as high as 54%. The duties will be equal to half the rates Trump claims those countries charge...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb148b210c3a99693d831432e2cce08ab1962efd3aa8a1d7c8.jpeg
46,https://apnews.com/article/china-response-us-tariffs-104-d40d497f6e07ee4163d88443cb75ab3f,Trump hits back with a 125% tariff in escalating trade war with China,AP News,"Apr 9, 2025","President Donald Trump raised the tariff on Chinese imports to 125% on Wednesday, hours after China boosted the duty on American goods to 84%.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbdf4bf943b12e917877bec00ea63736b63e505fa64929299e.jpeg
47,https://www.nytimes.com/live/2025/04/08/business/trump-tariffs-stock-market,Markets Soar After Trump Backs Down on Tariffs,The New York Times,"Apr 8, 2025","Stocks soared on Wednesday after President Trump abruptly announced he would back down on his “reciprocal” tariffs for 90 days, with the S&P 500 rising 9.5...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb9f652017c771594ecac57f4a5fbe019ef122f34feca95ab7.jpeg
48,https://www.reuters.com/world/us/whats-trumps-sweeping-new-reciprocal-tariff-regime-2025-04-03/,What's in Trump's sweeping new reciprocal tariff regime,Reuters,"Apr 3, 2025",U.S. President Donald Trump smashed a more than 75-year-old global trading system with a new baseline 10% U.S. tariff on goods from all countries and higher...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb5033e1a304a73eb7a6d783d5da536f3cd3a5813805cd4324.jpeg
49,https://www.aljazeera.com/news/2025/4/3/trumps-tariffs-which-countries-will-hit-back-and-which-likely-wont,Trump’s tariffs: Which countries will hit back – and which likely won’t?,Al Jazeera,"Apr 3, 2025","Trump's tariffs: Which countries will hit back – and which likely won't? Canada, China and the EU are expected to hit back. Meanwhile, other Asian nations and...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbc90347798d9491451f19b1a0a7cf81c050d1c04e0fd4da0e.jpeg
50,https://www.dw.com/en/trump-tariffs-us-to-charge-145-on-chinese-goods/live-72194124,Trump tariffs: US to charge 145% on Chinese goods,DW,"Apr 10, 2025",What you need to know. The White House clarified Thursday that the overall tariff imposed on most goods imported to the United States from China is 145%. It...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb7ddc02c20fdbd37f2de22e08dc4822e3ded1d67aeed09658.jpeg
51,https://www.npr.org/2025/04/04/nx-s1-5350588/temu-shein-tariff-shopping,Trump closes loophole used by American shoppers to buy Chinese goods tariff-free,NPR,"Apr 5, 2025","So long as each individual package is worth $800 or less, they aren't required to pay import fees or go through typical customs inspections. But under an...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb73dabdef8fe120d98afcfdd6bd33bd907604cfe0ee57bfb1.jpeg
52,https://www.cnn.com/2025/04/02/business/liberation-day-trump-tariffs,Trump just massively escalated his trade war. Here’s what he announced,CNN,"Apr 2, 2025","President Donald Trump is stepping up his massive global trade war, a move that's certain to weigh on Americans' wallets and could push the US economy into a...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb976c68dcc4ea6ff6a353cee18a7d814fb324a1f1d3e5980a.jpeg
53,https://www.politico.com/news/2025/04/10/trump-baseline-tariffs-staying-033077,"Trump’s 10 percent baseline tariffs are here to stay, Hassett says",Politico,"Apr 10, 2025","Trump's 10 percent baseline tariffs are here to stay, Hassett says. Hassett defended the president's tariff negotiation strategy, downplaying the idea it was...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbbeef21ec9b5b99d831d5172a091941a70dbfd785f8f96a0d.jpeg
54,https://www.nytimes.com/live/2025/04/03/business/trump-tariffs,Tariffs News Highlights: Tariffs Send Wall Street Tumbling to Worst Day Since Pandemic,The New York Times,"Apr 3, 2025","A new, sweeping round of tariffs sent a shock through Wall Street on Thursday, as upended economic forecasts and intensified worries about global growth sent...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbe1575d173696b4082319b9e13e8f5857d79d1e6dc708b383.jpeg
55,https://apnews.com/article/trump-tariffs-liberation-day-2a031b3c16120a5672a6ddd01da09933,"Trump announces sweeping new tariffs to promote US manufacturing, risking inflation and trade wars",AP News,"Apr 3, 2025",President Donald Trump has announced far-reaching new tariffs on nearly all U.S. trading partners — including a 34% tax on imports from China and 20% on the...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbfd04628573119a1980ccffc3bec3b61fb72b9e8bd8eb88a2.jpeg
56,https://www.forbes.com/sites/alisondurkee/2025/04/10/trumps-tariffs-on-china-are-now-at-least-145-white-house-confirms-higher-than-he-previously-claimed/,"Trump’s Tariffs On China Are Now At Least 145%, White House Confirms—Higher Than He Previously Claimed",Forbes,"Apr 10, 2025","Topline. President Donald Trump's tariffs on Chinese imports are even higher than the 125% rate initially announced, as the White House confirmed Thursday...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbe814801134c2c4fca120cd7f21d250cefb6c2d59cb92f129.jpeg
57,https://www.cnn.com/2025/04/04/business/china-us-tariffs-retaliation-hnk-intl,China imposes 34% reciprocal tariffs on imports of US goods in retaliation for Trump’s trade war,CNN,"Apr 4, 2025",China imposes 34% reciprocal tariffs on imports of US goods in retaliation for Trump's trade war ... China said Friday that it will impose reciprocal 34% tariffs...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbd0054a10771e1969c58edce4b63d97e97c287cb05dd41c9b.jpeg
58,https://www.pbs.org/newshour/politics/watch-trump-compares-tariff-policy-to-medicine-as-market-futures-crash,WATCH: Trump compares tariff policy to ‘medicine’ as market futures crash,PBS,"Apr 7, 2025",President Donald Trump said Sunday that he won't back down on his sweeping tariffs on imports from most of the world unless countries even out their trade with...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbd18fd245ca8e0df9603eb35bb9fa274d5bd6e435ed90f1e1.jpeg
59,https://www.npr.org/2025/04/02/nx-s1-5345926/trump-tariffs-timeline,It's been a wild rollout of Trump's tariffs. Here's how we got here,NPR,"Apr 2, 2025",Canadian and American flags fly on the Canadian...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb3f74ae7bd80d68654df2afee16e14bd3376921b44f76d05e.jpeg
60,https://www.cnn.com/2025/04/01/business/trump-tariff-liberation-day,"Trump’s ‘Liberation Day’ tariffs will go into effect immediately, White House says",CNN,"Apr 1, 2025",The administration's “Liberation Day” trade policy announcement is expected to be the most aggressive tariff move yet by the most tariff-obsessed president in...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb0b64cf90f16aaee286168d91634c763143a8ba99725d6803.jpeg
61,https://www.nytimes.com/live/2025/04/10/business/trump-tariffs-stocks,Stocks Dive Again as Angst Rises Over Trump’s Trade War,The New York Times,"Apr 10, 2025","The S&P 500 fell 3.5 percent by the closing bell, erasing part of Wednesday's recovery, as fears grew that the worsening trade war with China would crimp...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb2f22e92730f23db686bc52c17507bcc0ff1de587125d6e4c.jpeg
62,https://taxfoundation.org/research/all/federal/universal-tariff-revenue-estimates/,How Much Revenue Can Tariffs Really Raise for the Federal Government?,Tax Foundation,"Apr 10, 2025",Foundation estimates a 10 percent universal tariff would raise $2.2 trillion over the 2025 through 2034 budget window on a conventional basis.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb1e5a5beb21321f64a5c374685847b860a72628eb445e221e.jpeg
