position,link,title,source,date,snippet,thumbnail
16,https://www.npr.org/2025/07/27/nx-s1-5481246/trump-tariffs-european-union,"Trump sets EU tariff at 15%, lower than his original threat, after meeting in Scotland",NPR,4 days ago,"Trump had most recently threatened tariffs of 30% on imports from the European Union. But on Sunday, he met with the president of the European Commission,...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa51fa6fc637900f208d7a201c771eb20cf4440a48978ad2cee.jpeg
17,https://abcnews.go.com/Business/trumps-tariffs-achieved-experts-weigh/story?id=123859218,What have Trump's tariffs achieved so far? Experts weigh in,ABC News,2 weeks ago,"Trump has rolled back many of his steepest tariffs over recent months, including a sky-high levy on China, the top source of U.S. imports. In recent days,...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa563c92b0cc4c19d24963d92fab8570ac37a470bdd8b6202c4.jpeg
18,https://www.nytimes.com/interactive/2025/07/28/business/economy/trump-tariff-tracker.html,Maps: Tracking Trump’s New Tariffs on Every Country,The New York Times,7 hours ago,"President Trump unveiled an updated slate of sweeping tariffs on Thursday, targeting imports from dozens of U.S. trading partners, in a major escalation of...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa501468b6f44236b1b0c9ce7f16b8512a7e9ac12e428556351.jpeg
19,https://www.bbc.com/news/articles/cn93e12rypgo,"What are tariffs, how do they work and why is Trump using them?",BBC,7 hours ago,"Why is Trump using tariffs? Trump says tariffs will encourage US consumers to buy more American-made goods, increase the amount of tax raised and boost...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5d9a0d95fff479b214f4638f442a3d7388cd0949235fb9f8c.jpeg
20,https://www.cnn.com/business/live-news/trade-deadline-tariffs-trump-deals,Trump announces historic new US tariffs across the globe,CNN,LIVE1 hour ago,The new trade policy includes its baseline tariffs for all countries. The Trump administration said the “universal” tariff will remain at 10% for countries...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa52bd655220a03a70a3ce3adb07a42f36b5156384de2bb8ac3.jpeg
21,https://abcnews.go.com/Business/trump-unveils-tariff-rates-set-effect-week/story?id=124249032,Trump unveils sweeping tariffs in 'new system of trade',ABC News,7 hours ago,"President Donald Trump signed an executive order Thursday, slapping tariffs on most of America's trading partners set to take effect next week.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa55e2d6c3b6d317a992a8d7874ab55e5e74c025e0958668401.jpeg
22,https://www.npr.org/2025/07/09/nx-s1-5460936/trump-tariffs-economy-china-policy,Confused about where things stand with Trump's tariffs? Here's a handy primer,NPR,3 weeks ago,"Starting in April, Trump imposed a minimum 10% tariff on nearly everything the U.S. imports (with a few exceptions such as cellphones and computers), although...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa505179ded453c4397a7fb33cd8b5e231c4ea0ac0b581c08c5.jpeg
23,https://budgetlab.yale.edu/research/state-us-tariffs-july-10-2025,"State of U.S. Tariffs: July 10, 2025",The Budget Lab at Yale,3 weeks ago,"The 2025 tariffs are a 14.5 percentage point increase in the US average effective tariff rate, which brings the overall US effective tariff rate to 16.9%.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5f940b9beeb9bb5e3d960e6ea9e7b749031af2c08119cfe65.jpeg
24,https://www.politico.com/news/2025/07/30/countries-trade-agreement-trump-brace-deadline-00486094,Squeezed ‘like a lemon’: White House raising the pressure ahead of Friday tariff deadline,Politico,1 day ago,Foreign trade delegations are engaged in frantic last-minute talks to avoid punishingly high tariffs just after midnight on Friday. President Donald Trump...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa56dff86608bee927faab5798e66eb625544c6151dbea37f50.jpeg
25,https://www.nbcnews.com/business/business-news/trump-sets-15-tariff-japanese-imports-part-investment-agreement-rcna220416,Trump sets 15% tariff on Japanese imports as part of investment agreement,NBC News,1 week ago,"President Donald Trump said Tuesday on Truth Social that his administration had reached a deal with Japan, one of the largest U.S. trading partners, to lower...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa54d70a70d15273f9a7588fbff225d83afcf91fcc1e0412ec0.jpeg
26,https://www.nytimes.com/2025/07/07/business/trump-tariffs-trade-deals-august-1.html,"E.U., Mexico, Brazil: Who Has Trump Targeted With New Tariffs?",The New York Times,3 weeks ago,Tariff rates for select trade partners ... E.U. E.U. ... –$241 bil. ... –$178 bil. ... –$112 bil. ... –$69 bil. ... –$66 bil. ... –$46 bil. ... –$25 bil. ... +$7 bil. ... –$18 bil.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5c4818d1d9956958cda409759e73979447c621697da413d39.png
27,https://www.npr.org/2025/07/12/nx-s1-5463818/trump-tariff-rate-letters,Here's a list of where Trump's tariff threats — and deals — stand,NPR,3 weeks ago,Everything to know about Trump's tariff letters — and why it's a radical approach · 1. Vietnam: Transshipments — goods shipped through a country but originating...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa581d9eb813b9794047356a8aeafc45f7c06ca07a36537e111.jpeg
28,https://www.nbcnews.com/business/business-news/us-european-union-trade-deal-tariff-rate-fifteen-percent-rcna218380,"Trump reaches agreement with E.U. to impose 15% tariff, with exceptions for key industries",NBC News,4 days ago,"President Donald Trump on Sunday announced a trade agreement with the European Union that would set tariffs at 15%, ending what had been months of...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5a69bc15463c4e66b3bec507ee5e89b0441873e35b5243ef9.jpeg
29,https://www.nbcnews.com/business/economy/trump-tariffs-are-here-to-stay-why-what-to-know-rcna221571,Trump envisions a global baseline tariff rate of 15 to 20 percent,NBC News,3 days ago,"Tariff revenue has increased in recent months, though the levies make it nearly certain that American households will pay higher prices for imported...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5476230b0a8dfdd5d288b7f6a5f20e55a5c85b60369c033f6.jpeg
30,https://www.npr.org/2025/07/07/nx-s1-5407873/trump-tariff-rates-trade,Everything to know about Trump's tariff letters — and why it's a radical approach,NPR,3 weeks ago,"It began Monday with two letters — to the leaders of Japan and South Korea — posted to Trump's Truth Social account, informing them that he plans to impose new...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5746094303bac9167209b3e67a99e144581777014ab3e5df3.jpeg
31,https://finance.yahoo.com/news/live/trump-tariffs-live-updates-trump-outlines-sweeping-new-tariffs-for-dozens-of-trade-partners-200619934.html,Trump tariffs live updates: Trump outlines sweeping new tariffs for dozens of trade partners,Yahoo Finance,LIVE2 hours ago,Trump administration announces 50% tariffs on some copper imports. President Trump signed a proclamation on Wednesday to impose 50% tariffs on certain copper...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa587feed9ecab504423c58cdf977daa34a917ad5f540dcf209.jpeg
32,https://www.aljazeera.com/news/2025/7/7/trump-ramps-up-trade-war-with-tariff-blitz-targeting-14-countries,Trump ramps up trade war with tariff blitz targeting 14 countries,Al Jazeera,3 weeks ago,"Trump's latest trade threats on Monday put 14 countries, including key US allies Japan and South Korea, on notice that they will face tariffs of 25 to 40...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5e08b479166b57be91c22903c50e799317dd003e17a549901.jpeg
33,https://www.npr.org/2025/07/26/nx-s1-5480695/corporate-america-weird-tariff-summer-earnings-investors,Corporate America is having a weird tariff summer,NPR,6 days ago,"Some big companies are reporting real financial pain from tariffs and economic uncertainty — but for others, business is booming.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5a197318c48c108768847d41bea03cc8a79f96739efd7055c.jpeg
34,https://www.nbcnews.com/business/business-news/trump-hits-india-25-tariff-rcna221907,"Trump hits India, Brazil and South Korea with tariffs as deadline looms",NBC News,22 hours ago,President Donald Trump slapped higher trade duties on India on Wednesday and offered a reprieve to two others — his latest trade war declarations in what...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa50fc38826d6c4c5b0ccbe0d3d9165aa8f6cdc93e16c1a98eb.jpeg
35,https://www.aljazeera.com/economy/2025/7/9/trump-issues-new-tariffs-for-six-countries-including-iraq-and-the-philippines,"Trump announces new tariffs including for Iraq, Brazil and the Philippines",Al Jazeera,3 weeks ago,"United States President Donald Trump has issued a new round of tariff letters to eight countries, including Brazil, Sri Lanka, Algeria, Brunei, Iraq, Libya,...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa525204efed413f22af617beea7b45229dd75f2e52e41302c8.jpeg
36,https://www.nytimes.com/2025/07/08/business/economy/trump-tariffs-talks.html,Trump’s New Trade Threats Set Off Global Scramble to Avoid Tariffs,The New York Times,3 weeks ago,Trump might want in the deal he struck last week with Vietnam. That country has agreed in principle to a 40 percent tariff on any goods that flow across its...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5b71864b7dbe65e01cfc022095104de6ef7fb1fab9d25da82.jpeg
37,https://www.nytimes.com/2025/07/22/us/politics/trump-indonesia-trade-deal.html,"In New Deal, Trump Keeps Tariffs While Indonesia Drops Trade Barriers",The New York Times,1 week ago,The tariffs on Indonesia appear to be broadly in line with those Mr. Trump has agreed on with other Southeast Asian nations that have struck deals. In addition...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5e6af78cde7dd01b96c9fb35460f7c126ad0b4d6e90a2676e.jpeg
38,https://www.nytimes.com/2025/07/14/us/politics/trump-tariffs.html,It’s No Bluff: The Tariff Rate Is Soaring Under Trump,The New York Times,2 weeks ago,"Since Mr. Trump came into office in January, the average effective U.S. tariff rate has soared to 16.6 percent from 2.5 percent, according to tracking by the...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa541909745ff0063caeabdcb8c5e3e9919b6db7bfce262f427.jpeg
39,https://www.theguardian.com/us-news/2025/jul/31/trump-extends-deadline-tariff-deal-mexico,Trump imposes sweeping new tariffs on dozens of countries in latest bid to reshape global trade,The Guardian,20 hours ago,"High levies affecting some of world's poorest countries are to go into effect in seven days, while Mexico granted 90-day extension.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa53ca51140f9b6254148e17375f7c3824ff9eafa66d5a75f9f.jpeg
40,https://www.nytimes.com/2025/07/31/business/on-eve-of-tariff-deadline-trumps-trade-war-faces-key-court-test.html,"On Eve of Tariff Deadline, Trump’s Trade War Faces Key Court Test",The New York Times,1 day ago,A federal appeals panel will hear arguments from states and businesses that seek to invalidate the president's tariffs.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa533c50f823a2b265c210c0955e9e904fcd4795dfbc80d2417.jpeg
41,https://www.nytimes.com/2025/07/29/business/trump-tariffs-india-trade.html,India and Trump Still Don’t Have a Tariff Deal: Here’s Why That Matters,The New York Times,3 days ago,India was eager to start negotiating with President Trump over tariffs. Prime Minister Narendra Modi visited Washington right after the inauguration.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa50d3de95820063ab60608c2752463803dcfd59a8daa241640.jpeg
42,https://www.cnn.com/2025/07/11/economy/what-could-get-more-expensive-trump-tariffs,Trump just ramped up his tariff threats: Here’s what could get more expensive,CNN,3 weeks ago,"For the past three months, most imported goods have been subject to a minimum 10% tariff after Trump paused his “reciprocal” taxes on dozens of nations. And...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5a696184e8da6a61521cfc77307d808f10f660a7ab08e4f30.jpeg
43,https://www.politico.com/news/2025/07/16/trump-tariffs-small-countries-00456401,Trump says he will set tariffs for 150 small countries in one swoop,Politico,2 weeks ago,"Trump says he will set tariffs for 150 small countries in one swoop. ""It's all going to be the same for everyone,"" the president told reporters of the U.S. duty...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5ce64211c107ce26835f64994b1cc941fa88c318e0534787c.jpeg
44,https://www.reuters.com/world/china/trump-says-tariff-letters-12-countries-signed-going-out-monday-2025-07-05/,"Trump says tariff letters to 12 countries signed, going out Monday",Reuters,4 weeks ago,"Trump says tariff letters to 12 countries signed, going out Monday ... July 4 (Reuters) - U.S. President Donald Trump said he had signed letters to 12 countries...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa59d70d7a7282108e7428fa5a92807a5e406f18e3bded6e6d3.jpeg
45,https://www.nbcnews.com/politics/trump-administration/treasury-secretary-countries-tariffs-trade-deal-august-rcna217110,Treasury secretary says countries without trade deals will see tariffs 'boomerang' to April rates by Aug. 1,NBC News,3 weeks ago,"“President Trump's going to be sending letters to some of our trading partners saying that if you don't move things along, then on Aug. 1, you will boomerang...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa54d52d039ca3ca734f20e1b7be276054faa921093dab288e2.jpeg
46,https://www.nbcnews.com/business/economy/trump-tariffs-court-case-ruling-on-legality-what-to-know-rcna222086,Trump's tariffs face crucial court test on eve of latest deadline,NBC News,15 hours ago,President Donald Trump's global tariff regime headed to court Thursday in a fight for its survival.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa566dbc0f1174f4ef6185a7075604fe751703ebd247e09c161.jpeg
47,https://www.cnn.com/2025/07/09/economy/why-tariffs-backfire-trump-intl,Here’s how Trump’s tariffs could affect Americans,CNN,3 weeks ago,"The levies are also likely to reduce America's economic output, as has happened before. A 2020 study, based on data from 151 countries, including the US,...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa59b591109a0d647563e122f5730cb5ddcbba8e00e12bbe770.jpeg
48,https://www.bbc.com/news/articles/c4gkxkq21nwo,What have tariffs really done to the US economy?,BBC,1 month ago,4 July 2025 Share Save Natalie Sherman BBC News Share Save Getty Images Woman wearing a black T-shirt and blue shorts shopping in the fresh fruit and vegetable...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5e023319bb74efb2e408a83e3e7dc3da035c29bc2a1b0e999.jpeg
49,https://www.reuters.com/world/africa/trumps-tariffs-whats-effect-what-could-be-store-2025-07-09/,Trump's tariffs: What's in effect and what could be in store?,Reuters,3 weeks ago,"Trump's tariffs: What's in effect and what could be in store? ... WASHINGTON, July 16 (Reuters) - U.S. President Donald Trump has launched a global trade war with...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa53be7139595c7272b04683c93c104f56d75eaf7d1de7d8d08.jpeg
50,https://budgetlab.yale.edu/research/state-us-tariffs-july-14-2025,"State of U.S. Tariffs: July 14, 2025",The Budget Lab at Yale,2 weeks ago,"Key Takeaways · The Budget Lab (TBL) estimated the effects all US tariffs and foreign retaliation implemented in 2025 through July 13, including the announced...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5f35213e2dfba44f3cddd04e2eb2449a4fba494340267e4c2.jpeg
51,https://www.nytimes.com/2025/07/31/us/politics/trump-tariffs-mexico-extension.html,Trump Imposes 35% Tariff on Canada and Grants Mexico a 90-Day Extension,The New York Times,9 hours ago,"While the United States' largest trading partner now has more time to reach a trade deal, its second-largest saw its tariff rate increase on Thursday.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5039897e28702153a1eb3f9aa54197775ec19e20554026b0c.jpeg
52,https://paulkrugman.substack.com/p/the-tariff-beatings-will-continue,The Tariff Beatings Will Continue Until Morale Improves,Paul Krugman | Substack,3 weeks ago,Trump began posting letters on Truth Social (diplomacy!) telling a variety of countries that they would face high tariffs on Aug. 1.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa50d6ba0f5fef85f89e3f0b5b2423250b8b260687d9b6539f2.jpeg
53,https://apnews.com/article/trump-tariffs-russia-india-9e388a55583e7007149819c52f0fd71b,Trump announces 25% tariff on India and unspecified penalties for buying Russian oil,AP News,1 day ago,President Donald Trump says the United States and India are still negotiating on trade despite new tariffs slated to begin in a few days.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5509b128849e29d9d6fe130370836a87427cbc72f25497a03.jpeg
54,https://www.nytimes.com/2025/07/13/business/economy/trump-tariffs-trade-deals.html,"Under Attack by Trump’s Tariffs, Asian Countries Seek Out Better Friends",The New York Times,3 weeks ago,"Under Attack by Trump's Tariffs, Asian Countries Seek Out Better Friends. Most nations are still negotiating in hopes of avoiding punitive import taxes. At the...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa556a449106624b6f146bc12251e3fb53af3812dba6245b6e7.jpeg
55,https://www.nytimes.com/2025/07/12/business/economy/trump-tariffs-deals.html,Tariffs or Deals? Trump Seems Content With Punishing Levies.,The New York Times,3 weeks ago,Administration officials continue to describe the president's tariff threats as a gambit aimed at getting more concessions from foreign countries in trade...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5e8f5cdf678ff2a480172e9c39c25103d9edf71dffc5359ba.jpeg
56,https://www.npr.org/2025/07/29/nx-s1-5477470/prices-trump-tariffs,Are prices going up because of tariffs? Here's what we know,NPR,2 days ago,"Prices have risen a tad on some items especially affected by tariffs. But for the most part, companies are finding ways to delay price increases — for now.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5243d3b6970c7c983664f0b5b0f2eef85fcbe4a47963c063c.jpeg
57,https://www.cnn.com/2025/07/04/business/tariff-letters-trump,Trump says he is about to raise tariffs as high as 70% on some countries,CNN,1 month ago,"The new rates would go into effect August 1, Trump said. “They'll range in value from maybe 60% or 70% tariffs to 10% and 20% tariffs.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5a7c50efbf09c61402ef9cb0954a8f6f762e7257e8fbc9ff0.jpeg
58,https://www.nbcnews.com/news/us-news/trump-tariff-south-korea-witkoff-gaza-crisis-morning-rundown-rcna222157,Trump reaches tariff deal with South Korea and Witkoff addresses Gaza crisis: Morning Rundown,NBC News,1 day ago,Donald Trump has announced tariff rates for several countries as his Friday negotiation deadline nears.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5035d3d2d5f65d85b945b947530140147c4de7a2ae8b28ece.jpeg
59,https://www.reuters.com/world/us/trump-announces-50-tariff-copper-effective-august-1-2025-07-10/,Trump announces 50% tariff on copper effective August 1,Reuters,3 weeks ago,"Trump announces 50% tariff on copper effective August 1 ... WASHINGTON, July 9 (Reuters) - U.S. President Donald Trump announced on Wednesday a new 50% tariff on...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa50aba2f9f357ee68042682a42f632f5c6d69e88d9a4da19be.jpeg
60,https://www.nytimes.com/2025/07/10/us/politics/trump-brazil-tariffs-legal-limit.html,"Targeting Brazil, Trump Tests Legal Limit of His Tariff Powers",The New York Times,3 weeks ago,President Trump linked his threat of a 50 percent tariff on Brazil this week to that country's treatment of its former president Jair Bolsonaro.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5e64221d3124b2102db34924da3a7193c9bf43d2415e6fe74.jpeg
61,https://www.nbcnews.com/business/business-news/trump-tariffs-where-are-the-trade-deals-what-to-know-rcna218042,"Trump administration returns to trade, tariff uncertainty — and no new deals",NBC News,3 weeks ago,"So far this week, President Donald Trump has warned he plans to impose 50% tariffs on copper-based goods by Aug. 1, his new deadline for countries to come to...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5942b053663d55335d2f64672d73794326374120fe93cc384.jpeg
62,https://apnews.com/article/trump-tariffs-japan-indonesia-philippines-6e1829cb570d945d13c00f07059a41d4,Trump announces trade deal with Japan that lowers threatened tariff to 15%,AP News,1 week ago,"Trump announces a new trade framework to impose 15% tariffs on Japan, down from 25% he previously threatened. Trump also says he will lower his coming tariffs...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5d5870ef516b4a4d120538c257d736e69a738b50b6175771f.jpeg
63,https://www.politico.com/news/2025/07/31/trump-executive-order-higher-tariff-rates-00487913,Trump issues order imposing new global tariff rates effective Aug. 7,Politico,11 hours ago,President Donald Trump signed executive orders on Thursday evening to impose tariffs of between 15 and 41 percent on goods shipped to the U.S. from more...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa57b4b132110df531ad67bea22c2dd5932ab3b072ef2232d5a.jpeg
64,https://www.cnn.com/2025/07/07/economy/tariffs-trump-deals-explained,"Tariffs, explained: What Trump wants from all these trade deals",CNN,3 weeks ago,"Trump has often spoken about tariffs in terms of “fairness,” saying other countries are “ripping off” Americans with high trade barriers. He has repeatedly said...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5015f84dd9fc46a017513bfda35f3a21ceb425c1efd37aec1.jpeg
